id,Geographic Area Name,Population 20 to 24 years
48385,"Real County, Texas",165
48387,"Red River County, Texas",535
48389,"Reeves County, Texas",902
48391,"Refugio County, Texas",453
48393,"Roberts County, Texas",17
48395,"Robertson County, Texas",1083
48397,"Rockwall County, Texas",5126
48399,"Runnels County, Texas",623
48401,"Rusk County, Texas",3283
48403,"Sabine County, Texas",335
48405,"San Augustine County, Texas",214
48407,"San Jacinto County, Texas",1408
48409,"San Patricio County, Texas",4320
48411,"San Saba County, Texas",476
48413,"Schleicher County, Texas",176
48415,"Scurry County, Texas",887
48417,"Shackelford County, Texas",158
48419,"Shelby County, Texas",1679
48421,"Sherman County, Texas",188
48423,"Smith County, Texas",15848
48425,"Somervell County, Texas",507
48427,"Starr County, Texas",5224
48429,"Stephens County, Texas",539
48431,"Sterling County, Texas",21
48433,"Stonewall County, Texas",56
48435,"Sutton County, Texas",219
48437,"Swisher County, Texas",452
48439,"Tarrant County, Texas",137167
48441,"Taylor County, Texas",14358
48443,"Terrell County, Texas",7
48445,"Terry County, Texas",653
48447,"Throckmorton County, Texas",73
48449,"Titus County, Texas",2291
48451,"Tom Green County, Texas",9757
48453,"Travis County, Texas",81822
48455,"Trinity County, Texas",737
48457,"Tyler County, Texas",1726
48459,"Upshur County, Texas",2324
48461,"Upton County, Texas",167
48463,"Uvalde County, Texas",1937
48465,"Val Verde County, Texas",4058
48467,"Van Zandt County, Texas",2750
48469,"Victoria County, Texas",5982
48471,"Walker County, Texas",11091
48473,"Waller County, Texas",6882
48475,"Ward County, Texas",760
48477,"Washington County, Texas",2159
48479,"Webb County, Texas",21836
48481,"Wharton County, Texas",2565
48483,"Wheeler County, Texas",262
48485,"Wichita County, Texas",11826
48487,"Wilbarger County, Texas",599
48489,"Willacy County, Texas",2137
48491,"Williamson County, Texas",30247
48493,"Wilson County, Texas",2826
48495,"Winkler County, Texas",522
48497,"Wise County, Texas",3729
48499,"Wood County, Texas",2344
48501,"Yoakum County, Texas",654
48503,"Young County, Texas",762
48505,"Zapata County, Texas",1209
48507,"Zavala County, Texas",1151
